cohort,variable,n,missing_count,missing_rate,n_unique
CPTAC_PDAC,subject_id,140,0,0.0,140
CPTAC_PDAC,age_years,140,0,0.0,45
CPTAC_PDAC,sex,140,0,0.0,2
CPTAC_PDAC,race,140,107,0.7642857142857142,2
CPTAC_PDAC,vital_status,140,4,0.02857142857142857,2
CPTAC_PDAC,os_time_days,140,5,0.03571428571428571,124
CPTAC_PDAC,os_event,140,0,0.0,2
CPTAC_PDAC,diagnosis,140,0,0.0,2
CPTAC_PDAC,pathologic_stage,140,6,0.04285714285714286,6
CPTAC_PDAC,pathologic_t,140,0,0.0,6
CPTAC_PDAC,pathologic_n,140,0,0.0,4
CPTAC_PDAC,pathologic_m,140,0,0.0,3
CPTAC_PDAC,tumor_grade,140,140,1.0,0
CPTAC_PDAC,has_wsi,140,0,0.0,1
CPTAC_PDAC,has_rnaseq,140,0,0.0,1
TCGA_PAAD,subject_id,160,0,0.0,160
TCGA_PAAD,age_years,160,3,0.01875,157
TCGA_PAAD,sex,160,0,0.0,2
TCGA_PAAD,race,160,0,0.0,4
TCGA_PAAD,vital_status,160,0,0.0,2
TCGA_PAAD,os_time_days,160,0,0.0,151
TCGA_PAAD,os_event,160,0,0.0,2
TCGA_PAAD,diagnosis,160,0,0.0,8
TCGA_PAAD,pathologic_stage,160,27,0.16875,6
TCGA_PAAD,pathologic_t,160,26,0.1625,5
TCGA_PAAD,pathologic_n,160,26,0.1625,4
TCGA_PAAD,pathologic_m,160,26,0.1625,3
TCGA_PAAD,tumor_grade,160,26,0.1625,5
TCGA_PAAD,has_wsi,160,0,0.0,1
TCGA_PAAD,has_rnaseq,160,0,0.0,1
