top_dir,extension,n_files,total_size_mb
raw/CPTAC_PDAC/WSI_DICOM,dcm,2956,80154.30291175842
raw/CPTAC_PDAC/download_cptac_pda_matched_wsi.py,py,1,0.000530242919921875
raw/CPTAC_PDAC/download_cptac_pdac_omics.py,py,1,0.0014677047729492188
raw/CPTAC_PDAC/make_cptac_pda_matched_cases.py,py,1,0.0053272247314453125
raw/CPTAC_PDAC/matched,csv,7,0.20055198669433594
raw/CPTAC_PDAC/omics,cct,3,87.04140853881836
raw/CPTAC_PDAC/omics,tsv,1,0.06225872039794922
raw/TCGA_PAAD/RNA_SEQ_STAR_COUNTS,tsv,160,646.6923084259033
raw/TCGA_PAAD/TCGA_PAAD_matched,csv,7,0.27672863006591797
raw/TCGA_PAAD/TCGA_PAAD_matched,txt,3,0.07479286193847656
raw/TCGA_PAAD/WSI_SVS,parcel,160,10.837220191955566
raw/TCGA_PAAD/WSI_SVS,svs,160,178631.32713603973
raw/TCGA_PAAD/WSI_SVS,txt,23,0.007167816162109375
raw/TCGA_PAAD/download_tcga_paad_rnaseq_star_counts.py,py,1,0.0027170181274414062
raw/TCGA_PAAD/make_tcga_paad_matched_manifest.py,py,1,0.01596832275390625
